parroquia,canton,provincia,prob_riesgo,nivel_riesgo
Ayacucho,Guayaquil,Guayas,0.34,Medio
Bolívar,Guayaquil,Guayas,0.33,Medio
Chongón,Guayaquil,Guayas,0.17,Bajo
El Morro,Guayaquil,Guayas,0.03,Bajo
Febres Cordero,Guayaquil,Guayas,0.48,Medio
García Moreno,Guayaquil,Guayas,0.99,Alto
Letamendi,Guayaquil,Guayas,0.38,Medio
Nueve de Octubre,Guayaquil,Guayas,0.34,Medio
Olmedo,Guayaquil,Guayas,0.34,Medio
Pedro Carbo,Guayaquil,Guayas,0.27,Bajo
Posorja,Guayaquil,Guayas,0.01,Bajo
Puná,Guayaquil,Guayas,0.2,Bajo
Roca,Guayaquil,Guayas,0.34,Medio
Rocafuerte,Guayaquil,Guayas,0.24,Bajo
Sucre,Guayaquil,Guayas,0.42,Medio
Tarqui,Guayaquil,Guayas,0.33,Medio
Tenguel,Guayaquil,Guayas,0.0,Bajo
Urdaneta,Guayaquil,Guayas,0.99,Alto
Ximena,Guayaquil,Guayas,0.21,Bajo
